orden,nombre,codigo,url,tipo,horario,secretario,sede_contacto,fecha_extraccion
33,MINERIA,cmineria,https://www.hcdn.gob.ar/comisiones/permanentes/cmineria,Unicameral,Miércoles 9.30hs,,Piso P03 Oficina 334 -6075-2361 Internos 2361/2365,2025-12-15
34,PREVENCION DE ADICCIONES Y CONTROL DEL NARCOTRAFICO,cdrogadiccion,https://www.hcdn.gob.ar/comisiones/permanentes/cdrogadiccion,Unicameral,Martes 12.00hs,,Piso P02 Oficina 206 -60752241 Internos 2241,2025-12-15
35,ANALISIS Y SEGUIMIENTO DEL CUMPLIMIENTO DE NORMAS TRIBUTARIAS Y PREVISIONALES,cmtyprevisionales,https://www.hcdn.gob.ar/comisiones/permanentes/cmtyprevisionales,Unicameral,Martes 10.30hs,,Piso P02 Oficina 253 -6075-7750 Internos 2231,2025-12-15
36,POBLACION Y DESARROLLO HUMANO,cpydhumano,https://www.hcdn.gob.ar/comisiones/permanentes/cpydhumano,Unicameral,Miércoles 9.30hs,,Piso P01 Oficina 124 -6075-2125 Internos 2127/2125,2025-12-15
37,DEPORTES,cdeportes,https://www.hcdn.gob.ar/comisiones/permanentes/cdeportes,Unicameral,Martes 14.00hs,,Piso P01 Oficina 135 -6075-2138 Internos 2138/2156,2025-12-15
38,DERECHOS HUMANOS Y GARANTIAS,cdhygarantias,https://www.hcdn.gob.ar/comisiones/permanentes/cdhygarantias,Unicameral,Miércoles 14.00hs,,Piso P04 Oficina 411 -6075-2411 Internos 2411/2470,2025-12-15
39,"ASUNTOS COOPERATIVOS, MUTUALES Y ORGANIZACIONES NO GUBERNAMENTALES",cacym,https://www.hcdn.gob.ar/comisiones/permanentes/cacym,Unicameral,Miércoles 9.00hs,,Piso P03 Oficina 309 -6075-2308/2309 Internos 2308/09/11,2025-12-15
40,MERCOSUR,cmercosur,https://www.hcdn.gob.ar/comisiones/permanentes/cmercosur,Unicameral,Miércoles 11.00hs,,Piso P04 Oficina 424 -6075-2419 Internos 2419,2025-12-15
41,PEQUEÑAS Y MEDIANAS EMPRESAS,cpymes,https://www.hcdn.gob.ar/comisiones/permanentes/cpymes,Unicameral,Jueves 11.00hs,,Piso P03 Oficina 335 -6075-2343 Internos 2343/2374,2025-12-15
42,"DEFENSA DEL CONSUMIDOR, DEL USUARIO Y DE LA COMPETENCIA",cdconsumidor,https://www.hcdn.gob.ar/comisiones/permanentes/cdconsumidor,Unicameral,Miércoles 10.00hs,,Piso P03 Oficina 301 -6075-2359 Internos 2359/2355/2352,2025-12-15
43,SEGURIDAD INTERIOR,csinterior,https://www.hcdn.gob.ar/comisiones/permanentes/csinterior,Unicameral,Miércoles 10.00hs,,Piso P02 Oficina 207 -6075-2172 Internos 2172/2209 /2264/,2025-12-15
44,LIBERTAD DE EXPRESION,clexpresion,https://www.hcdn.gob.ar/comisiones/permanentes/clexpresion,Unicameral,Jueves 10.00hs,,Piso P01 Oficina 134 -6075-2167 Internos 2135/2139/2167,2025-12-15
45,DISCAPACIDAD,cdiscap,https://www.hcdn.gob.ar/comisiones/permanentes/cdiscap,Unicameral,Miércoles 9.30hs,,Piso P01 Oficina 126 -60750000 Internos 2126/2112/2163,2025-12-15
46,MUJERES Y DIVERSIDAD,cmujeresydiv,https://www.hcdn.gob.ar/comisiones/permanentes/cmujeresydiv,Unicameral,Martes 15.00hs,,Piso P04 Oficina 410 -6075-2408/2453 Internos 2408/2453/2455,2025-12-15
